method_name,method_id,closed_beam_pw_satisfaction,closed_beam_avg_satisfaction,priority_weighted_demand_recovery,high_priority_recovery_ratio,unserved_high_priority_demand_Mbps,closed_beam_pw_std,closed_beam_avg_std,priority_weighted_demand_recovery_std,high_priority_recovery_ratio_std,unserved_high_priority_demand_std_Mbps,runtime_s
Proposed (Dynamic-Score),proposed_dynamic,0.593896081277269,0.607908428183644,0.554574303193522,0.483870967741935,1352.62144012829,0,0,0,0,0,1.9224007
Initial-Score,initial_score,0.57930517607928,0.591857621431788,0.537448156543712,0.483870967741935,1362.4483048277,0,0,0,0,0,0.1801897
Max-User,max_user,0.57930517607928,0.591857621431788,0.537448156543712,0.483870967741935,1362.4483048277,0,0,0,0,0,2.1968574
Random,random_feasible,0.590124385945009,0.603777766637904,0.550603380322875,0.483870967741936,1358.51755894794,0.00503648533116893,0.00562093022712083,0.00606731287852946,3.38760771245022e-16,4.89646016652212,1.43314926666667
